Accession	p-value	fold_change
24652204	0.41	1.2058823529411764
320543561	0.88	0.9858156028368794
17981717	0.44	0.9120370370370371
255918263	0.79	0.9232954545454546
24641689	0.86	0.9466666666666667
24647162	0.44	1.1203703703703705
62862344	0.76	2.06020942408377
21356395	0.76	0.9455370650529501
22026970	0.06	1.0979591836734695
17737875	0.14	0.7670772676371781
17648125	0.06	0.656969696969697
18858089	0.81	0.9632107023411371
24656161	0.68	0.921875
21358129	0.06	0.7801047120418848
17737737	0.45	1.111764705882353
1168232	0.06	0.767337807606264
24645663	0.52	0.8776371308016878
28317298	0.59	1.1024930747922437
17647857	0.13	1.7767441860465116
17137010	0.21	1.2032258064516128
17136860	0.67	1.0991150442477877
18859665	0.07	0.8616071428571429
24667955	0.0016300000000000002	1.4085106382978723
42520192	1.0	0.982725527831094
508083071	0.18	0.8422360248447205
17136986	0.12	0.7974576271186441
442620937	0.56	1.0871459694989107
24658164	0.21	1.6758241758241759
24639372	0.25	0.7941747572815534
19920826	0.43	0.8807471264367817
24645909	0.79	0.9741518578352181
116007382	0.54	1.075085324232082
24645995	0.61	1.2139737991266375
281361618	0.24	1.2883435582822085
20129257	0.08	1.3805309734513274
17137072	0.76	0.9722991689750693
24655568	0.47	0.8627049180327869
16518434	0.58	1.0859375
281365054	0.66	1.0812581913499344
21355589	0.53	1.0833333333333333
24585673	0.27	11.244509516837482
21356189	0.00746	0.5596491228070175
17864488	0.46	0.8990536277602523
19922434	0.38	1.1195652173913044
21355083	0.71	0.896
21358097	1.0	1.0532786885245902
16186117	0.32	0.9125
24580809	0.73	1.048888888888889
158133	0.04	1.5277777777777777
218505869	0.76	1.144927536231884
386765175	0.42	1.1204819277108433
21355533	0.99	1.1137724550898203
17864668	0.77	0.9359605911330049
21357831	0.92	0.9712643678160919
24645774	0.43	1.08994708994709
20129483	0.52	1.092184368737475
17137302	0.77	1.1316725978647686
24640397	0.07	1.298529411764706
24654347	0.02	0.5583941605839416
7527326	0.55	1.1067567567567567
21355603	0.51	1.161137440758294
386765154	0.03	1.3149171270718232
24648670	0.02	0.6074074074074074
24657306	0.13	0.7936117936117936
17137228	0.54	0.9354838709677419
24652314	0.51	1.2581863979848866
24640873	0.66	1.0555555555555556
442615951	0.58	1.089655172413793
78707058	0.79	0.9366666666666666
21355217	0.03	1.1984126984126984
19920346	0.68	1.1082474226804124
281364426	0.98	0.9846796657381616
24651247	0.85	1.0414507772020725
22026816	0.53	0.9634641407307172
17137118	0.11	1.650943396226415
442615454	0.53	0.9407407407407408
20129463	0.11	1.18125
545479179	0.51	0.9217391304347826
221330989	0.06	0.727007299270073
45552763	0.21	1.1579861111111112
24644201	0.36	1.2264150943396226
386770867	0.00172	1.8908045977011494
21355591	0.61	0.8757062146892656
24582350	0.08	1.518796992481203
24586086	0.43	0.8796992481203008
21711631	0.00687	0.6223076923076923
223950515	0.18	1.2833545108005082
17864096	0.33	1.125
281359561	0.26	0.5989492119089317
45549139	0.88	0.970873786407767
45549037	0.98	1.0084388185654007
21355081	0.33	1.2112676056338028
18860089	0.08	1.2213740458015268
21358617	0.34	1.2155172413793103
17137380	0.04	1.2134146341463414
22026807	0.23	1.3189448441247003
221307657	0.86	1.0144230769230769
20151897	0.4	0.8568627450980392
28317265	0.44	1.1133603238866396
442634098	0.53	1.1754385964912282
17136320	0.81	1.0
17737681	0.24	1.152143845089903
24581262	0.27	0.7457264957264957
24581429	0.03	0.8371335504885994
20130199	0.92	1.064343163538874
17933708	0.53	0.9567901234567902
17862990	0.000357	2.276707530647986
28557557	0.83	0.979565772669221
116008309	0.47	1.5982905982905984
17647425	0.05	1.4073226544622426
17136862	0.02	1.432967032967033
21355363	0.1	1.238709677419355
442615312	0.6	0.916083916083916
17861924	0.2	0.7009803921568627
19921126	0.68	1.084070796460177
24658292	0.51	1.0483870967741935
28574271	0.55	1.2705223880597014
24645455	0.49	0.901060070671378
24648682	0.52	1.0649350649350648
1208910	0.97	0.9939393939393939
24655502	0.52	1.105740181268882
24655737	0.95	1.0023696682464456
1296517	0.22	0.685064935064935
13591766	0.47	0.9415204678362573
386766287	0.02	1.7295081967213115
218506005	0.45	0.8594594594594595
19921706	0.24	0.6571428571428571
17647469	0.99	1.0
24667346	0.24	1.1377245508982037
19921924	0.31	1.1176470588235294
21064311	0.33	1.2425531914893617
17737777	0.91	0.9920760697305864
17137632	0.15	0.8825910931174089
24649832	0.35	0.9105691056910569
442621864	0.00128	0.7094594594594594
17316372	0.05	1.2644628099173554
24640423	0.01	0.47160493827160493
255708501	0.59	1.1240105540897098
281365319	0.04	1.625
28574878	0.6	1.098901098901099
21355917	0.56	0.9495238095238095
281360654	0.04	0.6174311926605505
24650122	0.65	1.0629067245119306
442626414	0.49	0.9034406215316315
17136456	0.06	1.2966507177033493
372466681	0.52	1.0575079872204474
24666532	0.67	1.0654205607476634
21355551	0.49	1.1897435897435897
24641302	0.39	3.2348993288590604
17137528	0.28	1.1985645933014355
18859989	0.00873	0.8541114058355438
442620178	0.4	0.8921933085501859
18859969	0.65	1.0544554455445545
442629488	0.51	1.091743119266055
17736973	0.55	0.9408396946564885
18859625	0.19	3.3333333333333335
21357041	0.03	1.3453237410071943
17647891	0.29	0.8694779116465864
19922556	0.84	0.98
24762790	0.63	0.9226415094339623
3309275	0.82	0.9239669421487603
20129563	0.48	0.9073569482288828
17137216	0.68	1.0415512465373962
17647519	0.4	0.8015564202334631
110808371	0.12	1.280701754385965
25012218	0.43	1.1300813008130082
24762396	0.11	1.2686567164179106
21356837	0.63	0.945516458569807
24646379	0.14	0.8618677042801557
21357653	0.02	1.3722397476340693
17647459	0.25	1.3126550868486353
17933648	0.3	0.6908450704225352
17137568	0.56	1.1006944444444444
17647925	0.28	1.1443708609271523
24585671	0.28	8.852459016393443
20129315	0.99	1.0125673249551166
24648611	0.32	0.7413793103448276
24667531	0.45	1.0812274368231047
17647885	0.82	0.9750778816199377
18860091	0.13	1.3366336633663367
17862926	0.1	1.2145110410094637
19527667	0.68	1.0725806451612903
19921802	0.05	1.6053333333333333
24583248	0.32	1.1569148936170213
189458925	0.91	0.9477777777777778
17136866	0.63	0.950381679389313
3065729	0.99	1.0326086956521738
386767396	0.64	1.0673076923076923
18860025	0.33	0.6894736842105263
24641198	0.21	1.1830985915492958
19922420	0.26	1.1032148900169205
320543196	0.06	1.2697768762677484
221458445	0.9	0.9789356984478935
20129299	0.29	1.1875
19921088	0.04	0.5885416666666666
24657891	0.34	1.0545454545454545
17648095	0.93	0.96415770609319
24663317	0.03	1.3104325699745547
157382852	0.13	2.022346368715084
24661707	0.74	0.9574468085106383
281364072	0.14	1.2295719844357977
24584683	0.54	1.3158783783783783
21357229	0.32	0.8707414829659319
7637	0.73	1.0783132530120483
24585552	0.17	0.7883211678832117
21356893	0.12	1.2539432176656151
161077632	0.34	0.9034334763948498
17137602	0.63	0.9304029304029304
25012464	0.45	0.7883597883597884
19920382	0.05	0.6352
19922746	0.88	0.9937106918238994
442618802	0.14	1.1991869918699187
221513036	0.31	1.2176308539944904
17137600	0.65	0.8333333333333334
17136444	0.68	1.2883435582822085
45554576	0.05	0.8255813953488372
17136528	0.66	1.3875
17530825	0.57	1.0787037037037037
16903148	0.8	1.0803858520900322
1321805	0.9	0.7716701902748414
56311435	0.27	1.2995169082125604
19920406	0.11	1.7246376811594204
21744249	0.59	1.0941176470588236
17137106	0.79	0.9348591549295775
21355649	0.95	0.9730848861283644
442634156	0.81	0.9626168224299065
21355799	0.76	1.0307692307692307
24638644	0.6	1.0544412607449856
20976844	0.97	1.0047169811320755
19922662	0.8	1.0476190476190477
158749	0.77	0.9759450171821306
17530929	0.42	1.2095238095238094
162944864	0.31	1.0894941634241244
17137558	0.34	1.244705882352941
21358243	0.8	0.9553571428571429
372810448	0.38	1.13903743315508
24653501	0.11	0.9197247706422018
17647581	0.44	0.9126436781609195
21357673	0.08	0.6555232558139535
161077498	0.93	0.9889908256880734
24640659	0.83	0.8175853018372703
17647617	0.29	0.835820895522388
19921864	0.23	1.4489795918367347
19920906	0.97	0.9696969696969697
386768254	0.38	0.8532110091743119
21358567	0.69	0.9290322580645162
21356433	0.05	0.6991596638655462
28573789	0.39	1.1706349206349207
195586231	0.03	0.7813953488372093
201065637	0.99	0.9768115942028985
262331592	0.64	0.9606299212598425
18858119	0.24	1.182312925170068
324096480	0.17	0.9068825910931174
281362655	0.29	1.3754789272030652
24649579	0.02	1.2987012987012987
17137464	0.46	1.1081081081081081
24658707	0.4	1.0901033973412113
18859957	0.48	1.0521739130434782
24643343	0.6	1.0887573964497042
205371785	0.02	0.7016129032258065
162951729	0.0009429999999999999	0.4452054794520548
62484318	0.49	1.1633663366336633
24661884	0.13	0.7236641221374046
24586500	0.43	1.115702479338843
24639740	0.14	1.1330472103004292
21356833	0.47	1.1304347826086956
24661112	0.65	0.6562913907284769
19921950	0.31	0.8425
221330099	0.46	1.0943396226415094
24651897	0.37	0.751269035532995
18859661	0.00511	0.5155963302752293
17864602	0.29	1.1247863247863248
24585139	0.1	0.7773279352226721
442632885	0.49	0.8435374149659864
24666096	0.83	0.9880952380952381
21355331	0.94	0.9652650822669104
45550585	0.25	1.1513157894736843
24660351	0.08	0.753968253968254
161076540	0.01	1.5247252747252746
17944457	0.8	1.0268456375838926
17738283	0.93	1.0769230769230769
281362930	0.41	1.306320907617504
24585081	0.17	0.8125
320542461	0.79	1.045045045045045
19920622	0.8	1.0592592592592593
17738177	0.68	1.0935672514619883
532788	0.75	1.1071428571428572
281362404	0.13	1.385321100917431
116806184	0.71	0.963963963963964
24639216	0.47	1.0906666666666667
28571526	0.04	1.3842592592592593
262360008	0.5	0.9117647058823529
116008078	0.14	1.34375
21358201	0.44	1.10828025477707
17864338	0.37	0.8518518518518519
56292949	0.3	1.083969465648855
19922518	0.6	0.776536312849162
17933552	0.42	1.148051948051948
77403865	0.39	0.7445255474452555
17137088	0.7	1.028523489932886
162951771	0.55	0.7797356828193832
24583529	0.15	1.287958115183246
